"intervalIndex","fromSample","toSample","stable","elapsedSeconds","cpuSeconds","cpuPercentOneCore","cpuPercentTotalCapacity"
"1","0","1","True","1,3788426","0","0","0"
"2","1","2","True","1,2893621","0","0","0"
"3","2","3","True","1,2757908","0","0","0"
"4","3","4","True","1,2638423","0","0","0"
"5","4","5","True","1,2756074","0","0","0"
"6","5","6","True","1,2474842","0","0","0"
"7","6","7","True","1,2596977","0","0","0"
"8","7","8","True","1,2968428","0","0","0"
"9","8","9","True","1,2550951","0","0","0"
"10","9","10","True","1,2708763","0","0","0"
"11","10","11","True","1,2760174","0","0","0"
"12","11","12","True","1,2585371","0","0","0"
"13","12","13","True","1,2504622","0","0","0"
"14","13","14","True","1,2574122","0","0","0"
"15","14","15","True","1,2479764","0","0","0"
"16","15","16","True","1,2497557","0","0","0"
"17","16","17","True","1,2443209","0","0","0"
"18","17","18","True","1,247482","0","0","0"
"19","18","19","True","1,2414523","0","0","0"
"20","19","20","True","1,2476959","0","0","0"
"21","20","21","True","1,2461727","0","0","0"
"22","21","22","True","1,2584593","0","0","0"
"23","22","23","True","1,2375958","0","0","0"
"24","23","24","True","1,2449104","0","0","0"
"25","24","25","True","1,2506943","0","0","0"
"26","25","26","True","1,2468362","0","0","0"
"27","26","27","True","1,24397039999999","0","0","0"
"28","27","28","True","1,2511055","0","0","0"
"29","28","29","True","1,2486259","0","0","0"
"30","29","30","True","1,2409785","0","0","0"
"31","30","31","True","1,2477746","0","0","0"
"32","31","32","True","1,2476281","0","0","0"
"33","32","33","True","1,2539956","0","0","0"
"34","33","34","True","1,2453599","0","0","0"
"35","34","35","True","1,2484465","0","0","0"
"36","35","36","True","1,236863","0","0","0"
"37","36","37","True","1,2506163","0","0","0"
"38","37","38","True","1,250434","0","0","0"
"39","38","39","True","1,2521982","0","0","0"
"40","39","40","True","1,2594048","0","0","0"
"41","40","41","True","1,2430181","0","0","0"
"42","41","42","True","1,2501086","0","0","0"
"43","42","43","True","1,2539132","0","0","0"
"44","43","44","True","1,2498632","0","0","0"
"45","44","45","True","1,2516259","0","0","0"
"46","45","46","True","1,270287","0","0","0"
"47","46","47","True","1,2414237","0","0","0"
"48","47","48","True","1,2468751","0","0","0"
