"sampleIndex","capturedAtUtc","elapsedSeconds","processCount","treeWorkingSetBytes","treePrivateBytes","pid","parentPid","name","startTimeUtcTicks","processCpuSeconds","processWorkingSetBytes","processPrivateBytes"
"0","2026-09-03T07:47:40.2186507Z","0,0009254","7","412942336","335396864","32","19080","msedgewebview2.exe","639240180865273593","0,03125","11923456","3833856"
"0","2026-09-03T07:47:40.2186507Z","0,0009254","7","412942336","335396864","7972","17972","narro.exe","639240180863270912","3,0625","34156544","63430656"
"0","2026-09-03T07:47:40.2186507Z","0,0009254","7","412942336","335396864","18612","19080","msedgewebview2.exe","639240180870815075","9,65625","77856768","35373056"
"0","2026-09-03T07:47:40.2186507Z","0,0009254","7","412942336","335396864","19080","7972","msedgewebview2.exe","639240180864534440","4,640625","117870592","93224960"
"0","2026-09-03T07:47:40.2186507Z","0,0009254","7","412942336","335396864","19332","19080","msedgewebview2.exe","639240180866980426","0,328125","37191680","13361152"
"0","2026-09-03T07:47:40.2186507Z","0,0009254","7","412942336","335396864","29708","19080","msedgewebview2.exe","639240180866977728","15,5","113418240","117211136"
"0","2026-09-03T07:47:40.2186507Z","0,0009254","7","412942336","335396864","30828","19080","msedgewebview2.exe","639240180867349830","0,140625","20525056","8962048"
"1","2026-09-03T07:47:41.5035710Z","1,3653548","7","412819456","335396864","32","19080","msedgewebview2.exe","639240180865273593","0,03125","11923456","3833856"
"1","2026-09-03T07:47:41.5035710Z","1,3653548","7","412819456","335396864","7972","17972","narro.exe","639240180863270912","3,0625","34156544","63430656"
"1","2026-09-03T07:47:41.5035710Z","1,3653548","7","412819456","335396864","18612","19080","msedgewebview2.exe","639240180870815075","9,65625","77733888","35373056"
"1","2026-09-03T07:47:41.5035710Z","1,3653548","7","412819456","335396864","19080","7972","msedgewebview2.exe","639240180864534440","4,640625","117870592","93224960"
"1","2026-09-03T07:47:41.5035710Z","1,3653548","7","412819456","335396864","19332","19080","msedgewebview2.exe","639240180866980426","0,328125","37191680","13361152"
"1","2026-09-03T07:47:41.5035710Z","1,3653548","7","412819456","335396864","29708","19080","msedgewebview2.exe","639240180866977728","15,5","113418240","117211136"
"1","2026-09-03T07:47:41.5035710Z","1,3653548","7","412819456","335396864","30828","19080","msedgewebview2.exe","639240180867349830","0,140625","20525056","8962048"
"2","2026-09-03T07:47:42.7663578Z","2,6394014","7","412819456","335396864","32","19080","msedgewebview2.exe","639240180865273593","0,03125","11923456","3833856"
"2","2026-09-03T07:47:42.7663578Z","2,6394014","7","412819456","335396864","7972","17972","narro.exe","639240180863270912","3,0625","34156544","63430656"
"2","2026-09-03T07:47:42.7663578Z","2,6394014","7","412819456","335396864","18612","19080","msedgewebview2.exe","639240180870815075","9,65625","77733888","35373056"
"2","2026-09-03T07:47:42.7663578Z","2,6394014","7","412819456","335396864","19080","7972","msedgewebview2.exe","639240180864534440","4,640625","117870592","93224960"
"2","2026-09-03T07:47:42.7663578Z","2,6394014","7","412819456","335396864","19332","19080","msedgewebview2.exe","639240180866980426","0,328125","37191680","13361152"
"2","2026-09-03T07:47:42.7663578Z","2,6394014","7","412819456","335396864","29708","19080","msedgewebview2.exe","639240180866977728","15,5","113418240","117211136"
"2","2026-09-03T07:47:42.7663578Z","2,6394014","7","412819456","335396864","30828","19080","msedgewebview2.exe","639240180867349830","0,140625","20525056","8962048"
"3","2026-09-03T07:47:44.0373180Z","3,9023138","7","412819456","335396864","32","19080","msedgewebview2.exe","639240180865273593","0,03125","11923456","3833856"
"3","2026-09-03T07:47:44.0373180Z","3,9023138","7","412819456","335396864","7972","17972","narro.exe","639240180863270912","3,0625","34156544","63430656"
"3","2026-09-03T07:47:44.0373180Z","3,9023138","7","412819456","335396864","18612","19080","msedgewebview2.exe","639240180870815075","9,65625","77733888","35373056"
"3","2026-09-03T07:47:44.0373180Z","3,9023138","7","412819456","335396864","19080","7972","msedgewebview2.exe","639240180864534440","4,640625","117870592","93224960"
